,Q1,Q2,Q3,Q4,Q5,Q6
20712,25-29,Woman,Brazil,Bachelor’s degree,Other,< 1 years
20713,30-34,Man,Italy,I prefer not to answer,Data Engineer,3-5 years
20714,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,1-3 years
20715,22-24,Man,India,Bachelor’s degree,Business Analyst,< 1 years
20716,55-59,Man,Canada,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years
20717,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,3-5 years
20718,25-29,Man,Poland,Doctoral degree,Data Scientist,5-10 years
20719,30-34,Man,India,Master’s degree,Student,5-10 years
20720,25-29,Man,Indonesia,Master’s degree,Machine Learning Engineer,1-3 years
20721,22-24,Woman,India,Master’s degree,Data Analyst,1-3 years
20722,35-39,Man,Nepal,Master’s degree,Other,5-10 years
20723,22-24,Man,Ukraine,Master’s degree,Data Analyst,1-3 years
20724,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Currently not employed,< 1 years
20725,60-69,Man,Nigeria,I prefer not to answer,Software Engineer,20+ years
20726,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20727,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20728,30-34,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Currently not employed,I have never written code
20729,55-59,Man,Brazil,Doctoral degree,Other,10-20 years
20730,22-24,Man,United States of America,Master’s degree,Student,1-3 years
20731,30-34,Man,United States of America,Master’s degree,Machine Learning Engineer,3-5 years
20732,18-21,Man,China,Master’s degree,Student,1-3 years
20733,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
20734,22-24,Woman,"Iran, Islamic Republic of...",Master’s degree,Other,5-10 years
20735,18-21,Man,India,Master’s degree,Student,3-5 years
20736,18-21,Man,India,Bachelor’s degree,Student,3-5 years
20737,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Analyst,10-20 years
20738,22-24,Woman,Tunisia,Master’s degree,Student,< 1 years
20739,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
20740,30-34,Man,Singapore,Bachelor’s degree,Other,5-10 years
20741,35-39,Man,Ethiopia,Doctoral degree,Research Scientist,10-20 years
20742,50-54,Man,Brazil,Doctoral degree,Data Scientist,20+ years
20743,22-24,Man,Other,Bachelor’s degree,Data Scientist,1-3 years
20744,30-34,Man,United States of America,Master’s degree,Product Manager,< 1 years
20745,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years
20746,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
20747,25-29,Man,Nigeria,Bachelor’s degree,Currently not employed,1-3 years
20748,30-34,Man,Chile,Bachelor’s degree,Data Analyst,1-3 years
20749,30-34,Man,India,Master’s degree,Data Scientist,3-5 years
20750,25-29,Woman,Pakistan,Doctoral degree,Currently not employed,3-5 years
20751,30-34,Man,Hong Kong (S.A.R.),Bachelor’s degree,Data Scientist,5-10 years
20752,55-59,Man,Belarus,Master’s degree,Currently not employed,< 1 years
20753,25-29,Man,United States of America,Bachelor’s degree,Student,3-5 years
20754,25-29,Man,United States of America,Doctoral degree,Data Scientist,10-20 years
20755,40-44,Man,India,Master’s degree,Program/Project Manager,10-20 years
20756,45-49,Man,Italy,Master’s degree,Software Engineer,20+ years
20757,22-24,Man,Tunisia,Master’s degree,Student,1-3 years
20758,35-39,Man,Turkey,Master’s degree,Software Engineer,5-10 years
20759,50-54,Man,South Korea,Doctoral degree,Other,20+ years
20760,40-44,Man,Switzerland,Doctoral degree,Other,20+ years
20761,45-49,Woman,United States of America,Bachelor’s degree,Data Engineer,10-20 years
20762,30-34,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Student,< 1 years
20763,22-24,Woman,India,Bachelor’s degree,Student,1-3 years
20764,22-24,Man,Tunisia,Some college/university study without earning a bachelor’s degree,Student,1-3 years
20765,35-39,Man,India,Master’s degree,Data Engineer,10-20 years
20766,22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years
20767,22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
20768,25-29,Man,France,Master’s degree,Other,3-5 years
20769,25-29,Man,Canada,Master’s degree,Software Engineer,5-10 years
20770,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20771,30-34,Man,Indonesia,I prefer not to answer,Other,< 1 years
20772,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
20773,40-44,Man,Japan,Bachelor’s degree,Software Engineer,10-20 years
20774,25-29,Man,China,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years
20775,50-54,Man,Spain,Master’s degree,Data Analyst,20+ years
20776,18-21,Woman,India,Bachelor’s degree,Research Scientist,< 1 years
20777,18-21,Man,China,Master’s degree,Student,< 1 years
20778,22-24,Man,United States of America,Master’s degree,Machine Learning Engineer,3-5 years
20779,18-21,Man,India,Bachelor’s degree,Student,3-5 years
20780,25-29,Man,Kenya,Master’s degree,Other,1-3 years
20781,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years
20782,22-24,Man,United States of America,Master’s degree,Data Engineer,1-3 years
20783,25-29,Man,Egypt,Master’s degree,Data Scientist,< 1 years
20784,25-29,Man,India,Bachelor’s degree,Data Engineer,3-5 years
20785,18-21,Man,Italy,Some college/university study without earning a bachelor’s degree,Currently not employed,< 1 years
20786,30-34,Woman,Poland,Professional doctorate,Research Scientist,I have never written code
20787,22-24,Man,United States of America,Master’s degree,Data Analyst,1-3 years
20788,40-44,Man,Japan,Master’s degree,Data Scientist,20+ years
20789,40-44,Man,India,Master’s degree,Program/Project Manager,< 1 years
20790,18-21,Man,Egypt,Bachelor’s degree,Data Analyst,1-3 years
20791,30-34,Woman,Japan,Bachelor’s degree,Software Engineer,5-10 years
20792,30-34,Man,Mexico,Master’s degree,Software Engineer,5-10 years
20793,30-34,Man,Israel,Master’s degree,Data Scientist,10-20 years
20794,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20795,25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Data Analyst,< 1 years
20796,22-24,Man,India,Bachelor’s degree,Student,1-3 years
20797,30-34,Man,Colombia,No formal education past high school,Data Scientist,1-3 years
20798,18-21,Man,India,Master’s degree,Student,3-5 years
20799,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
20800,22-24,Woman,India,I prefer not to answer,Software Engineer,< 1 years
20801,35-39,Woman,India,Bachelor’s degree,Currently not employed,5-10 years
20802,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years
20803,30-34,Woman,India,Master’s degree,Business Analyst,< 1 years
20804,40-44,Man,Pakistan,I prefer not to answer,Data Engineer,5-10 years
20805,35-39,Man,South Africa,Bachelor’s degree,Software Engineer,10-20 years
20806,30-34,Man,Russia,Professional doctorate,Other,1-3 years
20807,22-24,Man,India,Master’s degree,Software Engineer,< 1 years
20808,30-34,Man,India,Master’s degree,Machine Learning Engineer,10-20 years
20809,25-29,Man,Brazil,Master’s degree,Other,1-3 years
20810,25-29,Man,India,Bachelor’s degree,Business Analyst,1-3 years
20811,40-44,Man,Portugal,Bachelor’s degree,Software Engineer,5-10 years
20812,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years
20813,18-21,Man,United States of America,Bachelor’s degree,Student,1-3 years
20814,25-29,Woman,Indonesia,Bachelor’s degree,Business Analyst,1-3 years
20815,22-24,Man,Pakistan,Master’s degree,Machine Learning Engineer,< 1 years
20816,25-29,Man,Other,Bachelor’s degree,Student,< 1 years
20817,50-54,Woman,United States of America,Master’s degree,Data Analyst,I have never written code
20818,25-29,Man,Nepal,Master’s degree,Currently not employed,5-10 years
20819,45-49,Man,United States of America,Master’s degree,Data Analyst,20+ years
20820,35-39,Man,Netherlands,Master’s degree,Software Engineer,5-10 years
20821,45-49,Man,Argentina,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years
20822,18-21,Woman,Nigeria,Bachelor’s degree,Data Scientist,1-3 years
20823,35-39,Man,India,Doctoral degree,Research Scientist,1-3 years
20824,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20825,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years
20826,22-24,Woman,Sri Lanka,Bachelor’s degree,Software Engineer,1-3 years
20827,25-29,Woman,India,Master’s degree,Currently not employed,< 1 years
20828,30-34,Man,Germany,Doctoral degree,Data Analyst,10-20 years
20829,25-29,Woman,Nigeria,Doctoral degree,Research Scientist,I have never written code
20830,18-21,Man,India,Bachelor’s degree,Student,3-5 years
20831,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20832,40-44,Man,Russia,Master’s degree,Data Analyst,< 1 years
20833,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years
20834,18-21,Woman,Viet Nam,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years
20835,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years
20836,40-44,Man,India,Bachelor’s degree,Currently not employed,5-10 years
20837,40-44,Woman,South Africa,Professional doctorate,Data Analyst,5-10 years
20838,22-24,Man,India,Some college/university study without earning a bachelor’s degree,Student,< 1 years
20839,30-34,Woman,Kazakhstan,Bachelor’s degree,Product Manager,I have never written code
20840,25-29,Man,Other,Master’s degree,Other,5-10 years
20841,25-29,Man,Canada,Master’s degree,Software Engineer,3-5 years
20842,18-21,Man,Hong Kong (S.A.R.),No formal education past high school,Data Scientist,< 1 years
20843,18-21,Woman,Nigeria,Bachelor’s degree,Student,1-3 years
20844,35-39,Man,United States of America,Bachelor’s degree,Currently not employed,< 1 years
20845,18-21,Man,India,I prefer not to answer,Other,1-3 years
20846,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20847,50-54,Man,Argentina,Doctoral degree,Research Scientist,20+ years
20848,25-29,Man,Italy,Doctoral degree,Research Scientist,10-20 years
20849,30-34,Man,United States of America,Bachelor’s degree,Software Engineer,5-10 years
20850,45-49,Man,Nigeria,Bachelor’s degree,Data Analyst,< 1 years
20851,35-39,Man,Malaysia,Master’s degree,Business Analyst,I have never written code
20852,22-24,Man,China,Some college/university study without earning a bachelor’s degree,Student,< 1 years
20853,30-34,Woman,Brazil,Master’s degree,Data Analyst,1-3 years
20854,35-39,Man,Nepal,Bachelor’s degree,Software Engineer,5-10 years
20855,45-49,Woman,United States of America,Master’s degree,Other,< 1 years
20856,55-59,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years
20857,30-34,Man,Other,Bachelor’s degree,Student,3-5 years
20858,22-24,Man,Egypt,Bachelor’s degree,Data Analyst,3-5 years
20859,45-49,Man,Portugal,Bachelor’s degree,Student,1-3 years
20860,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
20861,18-21,Woman,India,Master’s degree,Student,< 1 years
20862,30-34,Woman,United States of America,Master’s degree,Student,< 1 years
20863,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
20864,22-24,Woman,Tunisia,Bachelor’s degree,Machine Learning Engineer,3-5 years
20865,35-39,Man,Israel,Master’s degree,Machine Learning Engineer,10-20 years
20866,30-34,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years
20867,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20868,18-21,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years
20869,55-59,Man,South Korea,Doctoral degree,Program/Project Manager,20+ years
20870,22-24,Man,Viet Nam,Bachelor’s degree,Data Scientist,3-5 years
20871,25-29,Man,Italy,Master’s degree,Data Scientist,3-5 years
20872,45-49,Man,Hong Kong (S.A.R.),Doctoral degree,Program/Project Manager,5-10 years
20873,18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 years
20874,35-39,Man,Other,Master’s degree,Program/Project Manager,1-3 years
20875,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20876,40-44,Man,France,I prefer not to answer,Data Scientist,I have never written code
20877,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,1-3 years
20878,60-69,Man,Russia,Bachelor’s degree,Software Engineer,20+ years
20879,22-24,Prefer not to say,India,Master’s degree,Data Scientist,3-5 years
20880,30-34,Man,Indonesia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years
20881,45-49,Man,United States of America,Master’s degree,Data Scientist,20+ years
20882,35-39,Man,Brazil,Doctoral degree,Program/Project Manager,10-20 years
20883,35-39,Man,Malaysia,Doctoral degree,Student,3-5 years
20884,30-34,Man,India,Some college/university study without earning a bachelor’s degree,Product Manager,3-5 years
20885,25-29,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years
20886,18-21,Man,China,Bachelor’s degree,Data Analyst,1-3 years
20887,22-24,Man,India,Bachelor’s degree,Student,< 1 years
20888,25-29,Man,Other,Professional doctorate,Program/Project Manager,1-3 years
20889,22-24,Man,Nigeria,Bachelor’s degree,Data Scientist,< 1 years
20890,22-24,Man,Thailand,Bachelor’s degree,Student,< 1 years
20891,25-29,Woman,Egypt,Master’s degree,Data Scientist,1-3 years
20892,35-39,Woman,Portugal,Master’s degree,Business Analyst,3-5 years
20893,40-44,Man,Indonesia,Master’s degree,Data Analyst,1-3 years
20894,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years
20895,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years
20896,35-39,Man,Pakistan,Master’s degree,Data Scientist,1-3 years
20897,18-21,Woman,India,No formal education past high school,Student,1-3 years
20898,22-24,Man,India,Bachelor’s degree,Student,< 1 years
20899,50-54,Man,India,Bachelor’s degree,Product Manager,20+ years
20900,40-44,Woman,United States of America,Master’s degree,Student,< 1 years
20901,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20902,18-21,Woman,India,Bachelor’s degree,Data Analyst,1-3 years
20903,40-44,Man,Germany,Master’s degree,Currently not employed,1-3 years
20904,18-21,Man,China,Bachelor’s degree,Student,3-5 years
20905,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20906,22-24,Man,Turkey,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,1-3 years
20907,18-21,Man,Argentina,Bachelor’s degree,Student,5-10 years
20908,22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years
20909,18-21,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Student,< 1 years
20910,25-29,Man,Pakistan,Master’s degree,Data Scientist,3-5 years
20911,22-24,Man,Pakistan,Master’s degree,Other,1-3 years
20912,70+,Man,United States of America,Bachelor’s degree,Statistician,20+ years
20913,22-24,Man,South Korea,Bachelor’s degree,Student,1-3 years
20914,18-21,Man,Taiwan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,1-3 years
20915,40-44,Woman,United States of America,Doctoral degree,Research Scientist,10-20 years
20916,25-29,Man,India,I prefer not to answer,Data Analyst,10-20 years
20917,22-24,Woman,India,Master’s degree,Student,3-5 years
20918,35-39,Man,Brazil,No formal education past high school,Currently not employed,< 1 years
20919,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years
20920,40-44,Woman,India,Bachelor’s degree,Software Engineer,10-20 years
20921,35-39,Man,Colombia,Bachelor’s degree,Data Engineer,< 1 years
20922,22-24,Woman,India,Bachelor’s degree,Software Engineer,5-10 years
20923,25-29,Man,India,Master’s degree,Student,3-5 years
20924,50-54,Man,Indonesia,Master’s degree,Data Scientist,20+ years
20925,22-24,Woman,China,Bachelor’s degree,Student,1-3 years
20926,22-24,Man,United States of America,Master’s degree,Student,3-5 years
20927,40-44,Man,India,Doctoral degree,Other,5-10 years
20928,30-34,Woman,Russia,Master’s degree,Software Engineer,5-10 years
20929,18-21,Man,South Africa,Bachelor’s degree,Student,3-5 years
20930,25-29,Man,Japan,Master’s degree,Machine Learning Engineer,3-5 years
20931,22-24,Man,Russia,Bachelor’s degree,Student,1-3 years
20932,22-24,Man,India,Master’s degree,Student,< 1 years
20933,40-44,Man,Colombia,Master’s degree,Currently not employed,1-3 years
20934,55-59,Man,United States of America,Doctoral degree,Research Scientist,20+ years
20935,35-39,Man,Spain,No formal education past high school,Software Engineer,5-10 years
20936,45-49,Man,Peru,Master’s degree,Research Scientist,3-5 years
20937,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years
20938,18-21,Man,Egypt,Bachelor’s degree,Data Analyst,1-3 years
20939,25-29,Man,Japan,Master’s degree,Research Scientist,1-3 years
20940,22-24,Man,South Korea,Master’s degree,Student,3-5 years
20941,18-21,Man,India,Bachelor’s degree,Data Analyst,1-3 years
20942,35-39,Man,United Kingdom of Great Britain and Northern Ireland,No formal education past high school,Business Analyst,< 1 years
20943,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years
20944,30-34,Woman,Australia,Master’s degree,Data Scientist,10-20 years
20945,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Research Scientist,1-3 years
20946,18-21,Man,India,Bachelor’s degree,Student,< 1 years
20947,25-29,Man,Portugal,Master’s degree,Data Scientist,1-3 years
20948,70+,Man,Japan,Doctoral degree,Research Scientist,20+ years
20949,25-29,Woman,Indonesia,Doctoral degree,Statistician,3-5 years
20950,45-49,Man,Brazil,No formal education past high school,Student,1-3 years
20951,22-24,Woman,United States of America,Master’s degree,Software Engineer,3-5 years
20952,30-34,Man,Turkey,Master’s degree,Data Scientist,1-3 years
20953,18-21,Woman,Pakistan,Bachelor’s degree,Student,< 1 years
20954,35-39,Woman,India,Master’s degree,Other,10-20 years
20955,30-34,Man,Netherlands,Master’s degree,Data Engineer,5-10 years
20956,55-59,Man,United States of America,Doctoral degree,Data Scientist,3-5 years
20957,18-21,Man,Thailand,Bachelor’s degree,Other,< 1 years
20958,30-34,Man,Belarus,Bachelor’s degree,Data Scientist,1-3 years
20959,30-34,Woman,United States of America,Master’s degree,Currently not employed,< 1 years
20960,35-39,Man,India,Master’s degree,Data Scientist,3-5 years
20961,22-24,Woman,India,Bachelor’s degree,Data Analyst,< 1 years
20962,30-34,Man,India,Master’s degree,Data Scientist,3-5 years
20963,22-24,Man,Greece,Master’s degree,Student,< 1 years
20964,50-54,Woman,Other,Professional doctorate,Research Scientist,10-20 years
20965,35-39,Man,Russia,Some college/university study without earning a bachelor’s degree,Other,I have never written code
20966,22-24,Woman,Pakistan,I prefer not to answer,Research Scientist,I have never written code
20967,25-29,Man,France,Master’s degree,Other,< 1 years
20968,55-59,Man,Other,Doctoral degree,Software Engineer,20+ years
20969,22-24,Woman,India,Master’s degree,Software Engineer,< 1 years
20970,30-34,Man,United States of America,Master’s degree,Machine Learning Engineer,5-10 years
20971,22-24,Nonbinary,Ireland,Master’s degree,Software Engineer,5-10 years
20972,25-29,Woman,Other,Master’s degree,Data Analyst,1-3 years
20973,25-29,Man,Taiwan,Master’s degree,Machine Learning Engineer,3-5 years
20974,18-21,Man,India,Bachelor’s degree,Student,1-3 years
20975,22-24,Man,Netherlands,Bachelor’s degree,Data Scientist,1-3 years
20976,22-24,Man,Egypt,Some college/university study without earning a bachelor’s degree,Student,3-5 years
20977,30-34,Man,India,Master’s degree,Data Scientist,5-10 years
20978,18-21,Woman,Egypt,Some college/university study without earning a bachelor’s degree,Student,< 1 years
20979,22-24,Man,India,Master’s degree,Student,3-5 years
20980,25-29,Woman,Indonesia,Bachelor’s degree,Data Analyst,1-3 years
20981,30-34,Woman,United States of America,Master’s degree,Currently not employed,< 1 years
20982,25-29,Man,Russia,Bachelor’s degree,Data Scientist,3-5 years
20983,45-49,Man,Greece,Master’s degree,Currently not employed,3-5 years
20984,22-24,Man,Indonesia,Bachelor’s degree,Data Engineer,1-3 years
20985,50-54,Man,Russia,I prefer not to answer,Program/Project Manager,10-20 years
20986,70+,Man,Italy,Master’s degree,Data Scientist,5-10 years
20987,40-44,Man,Egypt,Bachelor’s degree,Currently not employed,< 1 years
20988,18-21,Man,United States of America,Some college/university study without earning a bachelor’s degree,Research Scientist,1-3 years
20989,25-29,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Business Analyst,5-10 years
20990,60-69,Man,United States of America,Master’s degree,Business Analyst,I have never written code
20991,45-49,Man,I do not wish to disclose my location,Some college/university study without earning a bachelor’s degree,Student,I have never written code
20992,25-29,Man,Japan,No formal education past high school,Software Engineer,5-10 years
20993,55-59,Man,United States of America,Master’s degree,Program/Project Manager,10-20 years
20994,35-39,Man,Morocco,Doctoral degree,Research Scientist,< 1 years
20995,30-34,Man,Other,Master’s degree,Software Engineer,5-10 years
20996,22-24,Man,Russia,Master’s degree,Machine Learning Engineer,5-10 years
20997,18-21,Man,China,Some college/university study without earning a bachelor’s degree,Student,1-3 years
20998,18-21,Man,Italy,Bachelor’s degree,Student,1-3 years
20999,35-39,Man,India,Master’s degree,Data Engineer,5-10 years
21000,25-29,Man,Nigeria,Master’s degree,Student,3-5 years
21001,35-39,Man,Kenya,Bachelor’s degree,Other,1-3 years
21002,22-24,Man,China,Master’s degree,Data Analyst,1-3 years
21003,40-44,Woman,Israel,Master’s degree,Program/Project Manager,5-10 years
21004,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
21005,40-44,Man,Poland,Master’s degree,Data Scientist,3-5 years
21006,18-21,Man,India,Bachelor’s degree,Student,1-3 years
21007,25-29,Woman,India,Master’s degree,Currently not employed,< 1 years
21008,55-59,Woman,India,Master’s degree,Program/Project Manager,10-20 years
21009,25-29,Man,India,Master’s degree,Currently not employed,< 1 years
21010,18-21,Woman,Egypt,Bachelor’s degree,Student,1-3 years
21011,18-21,Woman,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
21012,40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years
21013,30-34,Man,Japan,No formal education past high school,Data Analyst,< 1 years
21014,40-44,Man,Peru,Master’s degree,Other,20+ years
21015,40-44,Prefer not to say,Other,Master’s degree,Software Engineer,20+ years
21016,18-21,Man,China,Bachelor’s degree,Student,1-3 years
21017,25-29,Man,France,Master’s degree,Data Scientist,3-5 years
21018,30-34,Woman,India,Master’s degree,Data Engineer,5-10 years
21019,18-21,Man,Japan,No formal education past high school,Student,< 1 years
21020,30-34,Man,Japan,Master’s degree,Software Engineer,5-10 years
21021,40-44,Man,United States of America,Doctoral degree,Other,10-20 years
21022,35-39,Woman,Russia,Bachelor’s degree,Data Scientist,< 1 years
21023,18-21,Man,Portugal,Some college/university study without earning a bachelor’s degree,Student,1-3 years
21024,35-39,Man,Kenya,Master’s degree,Business Analyst,< 1 years
21025,25-29,Prefer not to say,India,I prefer not to answer,Currently not employed,< 1 years
21026,35-39,Man,Egypt,Master’s degree,Product Manager,10-20 years
21027,30-34,Woman,Germany,Master’s degree,Software Engineer,1-3 years
21028,18-21,Man,Pakistan,Bachelor’s degree,Software Engineer,< 1 years
21029,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Other,3-5 years
21030,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years
21031,18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years
21032,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
21033,30-34,Man,Turkey,Master’s degree,Student,< 1 years
21034,22-24,Man,India,Master’s degree,Student,3-5 years
21035,40-44,Man,Mexico,Doctoral degree,Data Analyst,3-5 years
21036,25-29,Man,India,Bachelor’s degree,Currently not employed,1-3 years
21037,18-21,Man,India,Master’s degree,Student,3-5 years
21038,35-39,Man,United States of America,Master’s degree,Data Scientist,10-20 years
21039,30-34,Man,Russia,Doctoral degree,Business Analyst,3-5 years
21040,22-24,Man,Japan,Master’s degree,Student,3-5 years
21041,25-29,Man,India,Master’s degree,Data Scientist,3-5 years
21042,25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 years
21043,25-29,Man,China,Bachelor’s degree,Machine Learning Engineer,5-10 years
21044,30-34,Man,United States of America,Bachelor’s degree,Student,1-3 years
21045,18-21,Man,India,Bachelor’s degree,Student,1-3 years
21046,40-44,Woman,Japan,Master’s degree,Data Scientist,1-3 years
21047,50-54,Man,United States of America,Bachelor’s degree,Other,I have never written code
21048,18-21,Man,China,Master’s degree,Student,3-5 years
21049,40-44,Man,India,Bachelor’s degree,Other,20+ years
21050,35-39,Man,Morocco,Professional doctorate,Machine Learning Engineer,5-10 years
21051,25-29,Man,United States of America,Master’s degree,Data Analyst,3-5 years
21052,22-24,Woman,India,Master’s degree,Data Analyst,1-3 years
21053,22-24,Man,India,Master’s degree,Data Scientist,< 1 years
21054,30-34,Man,Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years
21055,22-24,Prefer not to say,South Korea,Master’s degree,Student,5-10 years
21056,22-24,Man,India,Bachelor’s degree,Student,< 1 years
21057,40-44,Man,Egypt,Bachelor’s degree,Data Scientist,20+ years
21058,45-49,Man,Hong Kong (S.A.R.),Master’s degree,Data Scientist,10-20 years
21059,22-24,Prefer not to say,China,Master’s degree,Machine Learning Engineer,1-3 years
21060,25-29,Woman,Morocco,Master’s degree,Data Scientist,1-3 years
21061,30-34,Man,United States of America,Bachelor’s degree,Machine Learning Engineer,10-20 years
21062,25-29,Man,Argentina,Master’s degree,Program/Project Manager,< 1 years
21063,30-34,Man,Brazil,Bachelor’s degree,Program/Project Manager,< 1 years
21064,25-29,Man,Other,Master’s degree,Data Scientist,1-3 years
21065,25-29,Woman,United States of America,Doctoral degree,Student,5-10 years
21066,30-34,Man,Nigeria,Master’s degree,Business Analyst,1-3 years
21067,35-39,Man,India,Master’s degree,Data Scientist,1-3 years
21068,18-21,Man,Egypt,Bachelor’s degree,Student,5-10 years
21069,18-21,Man,India,Master’s degree,Student,1-3 years
21070,25-29,Man,Czech Republic,Master’s degree,Data Scientist,10-20 years
21071,30-34,Woman,United States of America,Bachelor’s degree,Business Analyst,1-3 years
21072,60-69,Man,Canada,Bachelor’s degree,Software Engineer,20+ years
21073,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
21074,25-29,Man,India,I prefer not to answer,Data Engineer,5-10 years
21075,22-24,Woman,India,Bachelor’s degree,Data Analyst,5-10 years
21076,50-54,Man,Spain,Some college/university study without earning a bachelor’s degree,Program/Project Manager,20+ years
21077,22-24,Man,Other,Bachelor’s degree,Student,1-3 years
21078,18-21,Man,India,Master’s degree,Student,1-3 years
21079,22-24,Man,Pakistan,Bachelor’s degree,Student,1-3 years
21080,45-49,Woman,Spain,Master’s degree,Data Analyst,< 1 years
21081,45-49,Man,Japan,Master’s degree,Product Manager,3-5 years
21082,18-21,Man,India,Bachelor’s degree,Data Analyst,< 1 years
21083,25-29,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years
21084,30-34,Man,Germany,Master’s degree,Student,5-10 years
21085,60-69,Man,Poland,Master’s degree,Data Scientist,< 1 years
21086,35-39,Man,Brazil,Master’s degree,Software Engineer,10-20 years
21087,30-34,Man,South Africa,Bachelor’s degree,Currently not employed,< 1 years
21088,25-29,Man,Poland,Master’s degree,Other,< 1 years
21089,18-21,Man,Nigeria,Bachelor’s degree,Student,1-3 years
21090,18-21,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,3-5 years
21091,18-21,Man,India,Bachelor’s degree,Data Analyst,3-5 years
21092,22-24,Man,Morocco,Doctoral degree,Software Engineer,3-5 years
21093,30-34,Man,Egypt,Bachelor’s degree,Other,1-3 years
21094,25-29,Man,Japan,Master’s degree,Software Engineer,5-10 years
21095,22-24,Man,Brazil,Bachelor’s degree,Student,1-3 years
21096,22-24,Man,Viet Nam,Bachelor’s degree,Student,1-3 years
21097,25-29,Woman,India,Bachelor’s degree,Machine Learning Engineer,< 1 years
21098,50-54,Man,Russia,Master’s degree,Business Analyst,< 1 years
21099,35-39,Woman,United States of America,Doctoral degree,Data Scientist,10-20 years
21100,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years
